season,game_id,game_date,team,location,wins_entering_gm,losses_entering_gm,result,streak_win_before,streak_loss_before
2016-17,21600001,2016-10-25 00:00:00,CLE,H,0,0,t,"",""
2016-17,21600001,2016-10-25 00:00:00,NYK,A,0,0,f,"",""
2016-17,21600002,2016-10-25 00:00:00,POR,H,0,0,t,"",""
2016-17,21600002,2016-10-25 00:00:00,UTA,A,0,0,f,"",""
2016-17,21600003,2016-10-25 00:00:00,GSW,H,0,0,f,"",""
2016-17,21600003,2016-10-25 00:00:00,SAS,A,0,0,t,"",""
2016-17,21600004,2016-10-26 00:00:00,ORL,H,0,0,f,"",""
2016-17,21600004,2016-10-26 00:00:00,MIA,A,0,0,t,"",""
2016-17,21600005,2016-10-26 00:00:00,IND,H,0,0,t,"",""
2016-17,21600005,2016-10-26 00:00:00,DAL,A,0,0,f,"",""
2016-17,21600006,2016-10-26 00:00:00,BOS,H,0,0,t,"",""
2016-17,21600006,2016-10-26 00:00:00,BKN,A,0,0,f,"",""
2016-17,21600007,2016-10-26 00:00:00,TOR,H,0,0,t,"",""
2016-17,21600007,2016-10-26 00:00:00,DET,A,0,0,f,"",""
2016-17,21600008,2016-10-26 00:00:00,MIL,H,0,0,f,"",""
2016-17,21600008,2016-10-26 00:00:00,CHA,A,0,0,t,"",""
2016-17,21600009,2016-10-26 00:00:00,MEM,H,0,0,t,"",""
2016-17,21600009,2016-10-26 00:00:00,MIN,A,0,0,f,"",""
2016-17,21600010,2016-10-26 00:00:00,NOP,H,0,0,f,"",""
2016-17,21600010,2016-10-26 00:00:00,DEN,A,0,0,t,"",""
2016-17,21600011,2016-10-26 00:00:00,PHI,H,0,0,f,"",""
2016-17,21600011,2016-10-26 00:00:00,OKC,A,0,0,t,"",""
2016-17,21600012,2016-10-26 00:00:00,PHX,H,0,0,f,"",""
2016-17,21600012,2016-10-26 00:00:00,SAC,A,0,0,t,"",""
2016-17,21600013,2016-10-26 00:00:00,LAL,H,0,0,t,"",""
2016-17,21600013,2016-10-26 00:00:00,HOU,A,0,0,f,"",""
2016-17,21600014,2016-10-27 00:00:00,ATL,H,0,0,t,"",""
2016-17,21600014,2016-10-27 00:00:00,WAS,A,0,0,f,"",""
2016-17,21600015,2016-10-27 00:00:00,CHI,H,0,0,t,"",""
2016-17,21600015,2016-10-27 00:00:00,BOS,A,1,0,f,1,0
2016-17,21600016,2016-10-27 00:00:00,SAC,H,1,0,f,1,0
2016-17,21600016,2016-10-27 00:00:00,SAS,A,1,0,t,1,0
2016-17,21600017,2016-10-27 00:00:00,POR,H,1,0,f,1,0
2016-17,21600017,2016-10-27 00:00:00,LAC,A,0,0,t,"",""
2016-17,21600018,2016-10-28 00:00:00,TOR,H,1,0,f,1,0
2016-17,21600018,2016-10-28 00:00:00,CLE,A,1,0,t,1,0
2016-17,21600019,2016-10-28 00:00:00,BKN,H,0,1,t,0,1
2016-17,21600019,2016-10-28 00:00:00,IND,A,1,0,f,1,0
2016-17,21600020,2016-10-28 00:00:00,DET,H,0,1,t,0,1
2016-17,21600020,2016-10-28 00:00:00,ORL,A,0,1,f,0,1
2016-17,21600021,2016-10-28 00:00:00,OKC,H,1,0,t,1,0
2016-17,21600021,2016-10-28 00:00:00,PHX,A,0,1,f,0,1
2016-17,21600022,2016-10-28 00:00:00,MIA,H,1,0,f,1,0
2016-17,21600022,2016-10-28 00:00:00,CHA,A,1,0,t,1,0
2016-17,21600023,2016-10-28 00:00:00,DAL,H,0,1,f,0,1
2016-17,21600023,2016-10-28 00:00:00,HOU,A,0,1,t,0,1
2016-17,21600024,2016-10-28 00:00:00,UTA,H,0,1,t,0,1
2016-17,21600024,2016-10-28 00:00:00,LAL,A,1,0,f,1,0
2016-17,21600025,2016-10-28 00:00:00,NOP,H,0,1,f,0,1
2016-17,21600025,2016-10-28 00:00:00,GSW,A,0,1,t,0,1
2016-17,21600026,2016-10-29 00:00:00,PHI,H,0,1,f,0,1
2016-17,21600026,2016-10-29 00:00:00,ATL,A,1,0,t,1,0
2016-17,21600027,2016-10-29 00:00:00,CHA,H,2,0,f,2,0
2016-17,21600027,2016-10-29 00:00:00,BOS,A,1,1,t,0,1
2016-17,21600028,2016-10-29 00:00:00,NYK,H,0,1,t,0,1
2016-17,21600028,2016-10-29 00:00:00,MEM,A,1,0,f,1,0
2016-17,21600029,2016-10-29 00:00:00,CLE,H,2,0,t,2,0
2016-17,21600029,2016-10-29 00:00:00,ORL,A,0,2,f,0,2
2016-17,21600030,2016-10-29 00:00:00,CHI,H,1,0,t,1,0
2016-17,21600030,2016-10-29 00:00:00,IND,A,1,1,f,0,1
2016-17,21600031,2016-10-29 00:00:00,MIL,H,0,1,t,0,1
2016-17,21600031,2016-10-29 00:00:00,BKN,A,1,1,f,1,0
2016-17,21600032,2016-10-29 00:00:00,SAS,H,2,0,t,2,0
2016-17,21600032,2016-10-29 00:00:00,NOP,A,0,2,f,0,2
2016-17,21600033,2016-10-29 00:00:00,DEN,H,1,0,f,1,0
2016-17,21600033,2016-10-29 00:00:00,POR,A,1,1,t,0,1
2016-17,21600034,2016-10-29 00:00:00,SAC,H,1,1,t,0,1
2016-17,21600034,2016-10-29 00:00:00,MIN,A,0,1,f,0,1
2016-17,21600035,2016-10-30 00:00:00,LAC,H,1,0,t,1,0
2016-17,21600035,2016-10-30 00:00:00,UTA,A,1,1,f,1,0
2016-17,21600036,2016-10-30 00:00:00,PHX,H,0,2,f,0,2
2016-17,21600036,2016-10-30 00:00:00,GSW,A,1,1,t,1,0
2016-17,21600037,2016-10-30 00:00:00,MIA,H,1,1,f,0,1
2016-17,21600037,2016-10-30 00:00:00,SAS,A,3,0,t,3,0
2016-17,21600038,2016-10-30 00:00:00,DET,H,1,1,t,1,0
2016-17,21600038,2016-10-30 00:00:00,MIL,A,1,1,f,1,0
2016-17,21600039,2016-10-30 00:00:00,MEM,H,1,1,t,0,1
2016-17,21600039,2016-10-30 00:00:00,WAS,A,0,1,f,0,1
2016-17,21600040,2016-10-30 00:00:00,OKC,H,2,0,t,2,0
2016-17,21600040,2016-10-30 00:00:00,LAL,A,1,1,f,0,1
2016-17,21600041,2016-10-30 00:00:00,HOU,H,1,1,t,1,0
2016-17,21600041,2016-10-30 00:00:00,DAL,A,0,2,f,0,2
2016-17,21600042,2016-10-31 00:00:00,TOR,H,1,1,t,0,1
2016-17,21600042,2016-10-31 00:00:00,DEN,A,1,1,f,0,1
2016-17,21600043,2016-10-31 00:00:00,BKN,H,1,2,f,0,1
2016-17,21600043,2016-10-31 00:00:00,CHI,A,2,0,t,2,0
2016-17,21600044,2016-10-31 00:00:00,ATL,H,2,0,t,2,0
2016-17,21600044,2016-10-31 00:00:00,SAC,A,2,1,f,1,0
2016-17,21600045,2016-10-31 00:00:00,LAC,H,2,0,t,2,0
2016-17,21600045,2016-10-31 00:00:00,PHX,A,0,3,f,0,3
2016-17,21600046,2016-11-01 00:00:00,PHI,H,0,2,f,0,2
2016-17,21600046,2016-11-01 00:00:00,ORL,A,0,3,t,0,3
2016-17,21600047,2016-11-01 00:00:00,CLE,H,3,0,t,3,0
2016-17,21600047,2016-11-01 00:00:00,HOU,A,2,1,f,2,0
2016-17,21600048,2016-11-01 00:00:00,IND,H,1,2,t,0,2
2016-17,21600048,2016-11-01 00:00:00,LAL,A,1,2,f,0,2
2016-17,21600049,2016-11-01 00:00:00,MIA,H,1,2,t,0,2
2016-17,21600049,2016-11-01 00:00:00,SAC,A,2,2,f,0,1
2016-17,21600050,2016-11-01 00:00:00,DET,H,2,1,t,2,0
2016-17,21600050,2016-11-01 00:00:00,NYK,A,1,1,f,1,0
2016-17,21600051,2016-11-01 00:00:00,NOP,H,0,3,f,0,3
2016-17,21600051,2016-11-01 00:00:00,MIL,A,1,2,t,0,1
2016-17,21600052,2016-11-01 00:00:00,MIN,H,0,2,t,0,2
2016-17,21600052,2016-11-01 00:00:00,MEM,A,2,1,f,1,0
2016-17,21600053,2016-11-01 00:00:00,SAS,H,4,0,f,4,0
2016-17,21600053,2016-11-01 00:00:00,UTA,A,1,2,t,0,1
2016-17,21600054,2016-11-01 00:00:00,POR,H,2,1,f,1,0
2016-17,21600054,2016-11-01 00:00:00,GSW,A,2,1,t,2,0
2016-17,21600055,2016-11-02 00:00:00,WAS,H,0,2,f,0,2
2016-17,21600055,2016-11-02 00:00:00,TOR,A,2,1,t,1,0
2016-17,21600056,2016-11-02 00:00:00,CHA,H,2,1,t,0,1
2016-17,21600056,2016-11-02 00:00:00,PHI,A,0,3,f,0,3
2016-17,21600057,2016-11-02 00:00:00,BKN,H,1,3,t,0,2
2016-17,21600057,2016-11-02 00:00:00,DET,A,3,1,f,3,0
2016-17,21600058,2016-11-02 00:00:00,NYK,H,1,2,f,0,1
2016-17,21600058,2016-11-02 00:00:00,HOU,A,2,2,t,0,1
2016-17,21600059,2016-11-02 00:00:00,ATL,H,3,0,f,3,0
2016-17,21600059,2016-11-02 00:00:00,LAL,A,1,3,t,0,3
2016-17,21600060,2016-11-02 00:00:00,MEM,H,2,2,t,0,1
2016-17,21600060,2016-11-02 00:00:00,NOP,A,0,4,f,0,4
2016-17,21600061,2016-11-02 00:00:00,BOS,H,2,1,t,1,0
2016-17,21600061,2016-11-02 00:00:00,CHI,A,3,0,f,3,0
2016-17,21600062,2016-11-02 00:00:00,UTA,H,2,2,t,1,0
2016-17,21600062,2016-11-02 00:00:00,DAL,A,0,3,f,0,3
2016-17,21600063,2016-11-02 00:00:00,PHX,H,0,4,t,0,4
2016-17,21600063,2016-11-02 00:00:00,POR,A,2,2,f,0,1
2016-17,21600064,2016-11-02 00:00:00,LAC,H,3,0,f,3,0
2016-17,21600064,2016-11-02 00:00:00,OKC,A,3,0,t,3,0
2016-17,21600065,2016-11-03 00:00:00,ORL,H,1,3,t,1,0
2016-17,21600065,2016-11-03 00:00:00,SAC,A,2,3,f,0,2
2016-17,21600066,2016-11-03 00:00:00,MIL,H,2,2,t,1,0
2016-17,21600066,2016-11-03 00:00:00,IND,A,2,2,f,1,0
2016-17,21600067,2016-11-03 00:00:00,MIN,H,1,2,f,1,0
2016-17,21600067,2016-11-03 00:00:00,DEN,A,1,2,t,0,2
2016-17,21600068,2016-11-03 00:00:00,CLE,H,4,0,t,4,0
2016-17,21600068,2016-11-03 00:00:00,BOS,A,3,1,f,2,0
2016-17,21600069,2016-11-03 00:00:00,GSW,H,3,1,t,3,0
2016-17,21600069,2016-11-03 00:00:00,OKC,A,4,0,f,4,0
2016-17,21600070,2016-11-04 00:00:00,WAS,H,0,3,t,0,3
2016-17,21600070,2016-11-04 00:00:00,ATL,A,3,1,f,0,1
2016-17,21600071,2016-11-04 00:00:00,TOR,H,3,1,t,2,0
2016-17,21600071,2016-11-04 00:00:00,MIA,A,2,2,f,1,0
2016-17,21600072,2016-11-04 00:00:00,BKN,H,2,3,f,1,0
2016-17,21600072,2016-11-04 00:00:00,CHA,A,3,1,t,1,0
2016-17,21600073,2016-11-04 00:00:00,CHI,H,3,1,f,0,1
2016-17,21600073,2016-11-04 00:00:00,NYK,A,1,3,t,0,2
2016-17,21600074,2016-11-04 00:00:00,MEM,H,3,2,f,1,0
2016-17,21600074,2016-11-04 00:00:00,LAC,A,3,1,t,0,1
2016-17,21600075,2016-11-04 00:00:00,NOP,H,0,5,f,0,5
2016-17,21600075,2016-11-04 00:00:00,PHX,A,1,4,t,1,0
2016-17,21600076,2016-11-04 00:00:00,DAL,H,0,4,f,0,4
2016-17,21600076,2016-11-04 00:00:00,POR,A,2,3,t,0,2
2016-17,21600077,2016-11-04 00:00:00,UTA,H,3,2,f,2,0
2016-17,21600077,2016-11-04 00:00:00,SAS,A,4,1,t,0,1
2016-17,21600078,2016-11-04 00:00:00,LAL,H,2,3,t,1,0
2016-17,21600078,2016-11-04 00:00:00,GSW,A,4,1,f,4,0
2016-17,21600079,2016-11-05 00:00:00,OKC,H,4,1,t,0,1
2016-17,21600079,2016-11-05 00:00:00,MIN,A,1,3,f,0,1
2016-17,21600080,2016-11-05 00:00:00,PHI,H,0,4,f,0,4
2016-17,21600080,2016-11-05 00:00:00,CLE,A,5,0,t,5,0
2016-17,21600081,2016-11-05 00:00:00,ORL,H,2,3,t,2,0
2016-17,21600081,2016-11-05 00:00:00,WAS,A,1,3,f,1,0
2016-17,21600082,2016-11-05 00:00:00,DET,H,3,2,t,0,1
2016-17,21600082,2016-11-05 00:00:00,DEN,A,2,2,f,1,0
2016-17,21600083,2016-11-05 00:00:00,IND,H,2,3,t,0,1
2016-17,21600083,2016-11-05 00:00:00,CHI,A,3,2,f,0,2
2016-17,21600084,2016-11-05 00:00:00,ATL,H,3,2,t,0,2
2016-17,21600084,2016-11-05 00:00:00,HOU,A,3,2,f,1,0
2016-17,21600085,2016-11-05 00:00:00,MIL,H,3,2,t,2,0
2016-17,21600085,2016-11-05 00:00:00,SAC,A,2,4,f,0,3
2016-17,21600086,2016-11-05 00:00:00,SAS,H,5,1,f,1,0
2016-17,21600086,2016-11-05 00:00:00,LAC,A,4,1,t,1,0
2016-17,21600087,2016-11-06 00:00:00,NYK,H,2,3,f,1,0
2016-17,21600087,2016-11-06 00:00:00,UTA,A,3,3,t,0,1
2016-17,21600088,2016-11-06 00:00:00,MEM,H,3,3,f,0,1
2016-17,21600088,2016-11-06 00:00:00,POR,A,3,3,t,1,0
2016-17,21600089,2016-11-06 00:00:00,TOR,H,4,1,f,3,0
2016-17,21600089,2016-11-06 00:00:00,SAC,A,2,5,t,0,4
2016-17,21600090,2016-11-06 00:00:00,DAL,H,0,5,t,0,5
2016-17,21600090,2016-11-06 00:00:00,MIL,A,4,2,f,3,0
2016-17,21600091,2016-11-06 00:00:00,BOS,H,3,2,f,0,1
2016-17,21600091,2016-11-06 00:00:00,DEN,A,2,3,t,0,1
2016-17,21600092,2016-11-06 00:00:00,LAL,H,3,3,t,2,0
2016-17,21600092,2016-11-06 00:00:00,PHX,A,2,4,f,2,0
2016-17,21600093,2016-11-07 00:00:00,PHI,H,0,5,f,0,5
2016-17,21600093,2016-11-07 00:00:00,UTA,A,4,3,t,1,0
2016-17,21600094,2016-11-07 00:00:00,WAS,H,1,4,f,0,1
2016-17,21600094,2016-11-07 00:00:00,HOU,A,3,3,t,0,1
2016-17,21600095,2016-11-07 00:00:00,CHA,H,4,1,t,2,0
2016-17,21600095,2016-11-07 00:00:00,IND,A,3,3,f,1,0
2016-17,21600096,2016-11-07 00:00:00,CHI,H,3,3,t,0,3
2016-17,21600096,2016-11-07 00:00:00,ORL,A,3,3,f,3,0
2016-17,21600097,2016-11-07 00:00:00,OKC,H,5,1,t,1,0
2016-17,21600097,2016-11-07 00:00:00,MIA,A,2,3,f,0,1
2016-17,21600098,2016-11-07 00:00:00,LAC,H,5,1,t,2,0
2016-17,21600098,2016-11-07 00:00:00,DET,A,4,2,f,1,0
2016-17,21600099,2016-11-07 00:00:00,GSW,H,4,2,t,0,1
2016-17,21600099,2016-11-07 00:00:00,NOP,A,0,6,f,0,6
2016-17,21600100,2016-11-08 00:00:00,CLE,H,6,0,f,6,0
2016-17,21600100,2016-11-08 00:00:00,ATL,A,4,2,t,1,0
2016-17,21600101,2016-11-08 00:00:00,BKN,H,2,4,t,0,1
2016-17,21600101,2016-11-08 00:00:00,MIN,A,1,4,f,0,2
2016-17,21600102,2016-11-08 00:00:00,MEM,H,3,4,t,0,2
2016-17,21600102,2016-11-08 00:00:00,DEN,A,3,3,f,1,0
2016-17,21600103,2016-11-08 00:00:00,POR,H,4,3,t,2,0
2016-17,21600103,2016-11-08 00:00:00,PHX,A,2,5,f,0,1
2016-17,21600104,2016-11-08 00:00:00,LAL,H,4,3,f,3,0
2016-17,21600104,2016-11-08 00:00:00,DAL,A,1,5,t,1,0
2016-17,21600105,2016-11-08 00:00:00,SAC,H,3,5,t,1,0
2016-17,21600105,2016-11-08 00:00:00,NOP,A,0,7,f,0,7
2016-17,21600106,2016-11-09 00:00:00,NYK,H,2,4,t,0,1
2016-17,21600106,2016-11-09 00:00:00,BKN,A,3,4,f,1,0
2016-17,21600107,2016-11-09 00:00:00,WAS,H,1,5,t,0,2
2016-17,21600107,2016-11-09 00:00:00,BOS,A,3,3,f,0,2
2016-17,21600108,2016-11-09 00:00:00,CHA,H,5,1,t,3,0
2016-17,21600108,2016-11-09 00:00:00,UTA,A,5,3,f,2,0
2016-17,21600109,2016-11-09 00:00:00,ORL,H,3,4,f,0,1
2016-17,21600109,2016-11-09 00:00:00,MIN,A,1,5,t,0,3
2016-17,21600110,2016-11-09 00:00:00,IND,H,3,4,t,0,1
2016-17,21600110,2016-11-09 00:00:00,PHI,A,0,6,f,0,6
2016-17,21600111,2016-11-09 00:00:00,ATL,H,5,2,t,2,0
2016-17,21600111,2016-11-09 00:00:00,CHI,A,4,3,f,1,0
2016-17,21600112,2016-11-09 00:00:00,OKC,H,6,1,f,2,0
2016-17,21600112,2016-11-09 00:00:00,TOR,A,4,2,t,0,1
2016-17,21600113,2016-11-09 00:00:00,PHX,H,2,6,t,0,2
2016-17,21600113,2016-11-09 00:00:00,DET,A,4,3,f,0,1
2016-17,21600114,2016-11-09 00:00:00,SAS,H,5,2,f,0,1
2016-17,21600114,2016-11-09 00:00:00,HOU,A,4,3,t,1,0
2016-17,21600115,2016-11-09 00:00:00,LAC,H,6,1,t,3,0
2016-17,21600115,2016-11-09 00:00:00,POR,A,5,3,f,3,0
2016-17,21600116,2016-11-09 00:00:00,GSW,H,5,2,t,1,0
2016-17,21600116,2016-11-09 00:00:00,DAL,A,2,5,f,2,0
2016-17,21600117,2016-11-10 00:00:00,MIL,H,4,3,f,0,1
2016-17,21600117,2016-11-10 00:00:00,NOP,A,0,8,t,0,8
2016-17,21600118,2016-11-10 00:00:00,MIA,H,2,4,f,0,2
2016-17,21600118,2016-11-10 00:00:00,CHI,A,4,4,t,0,1
2016-17,21600119,2016-11-10 00:00:00,DEN,H,3,4,f,0,1
2016-17,21600119,2016-11-10 00:00:00,GSW,A,6,2,t,2,0
2016-17,21600120,2016-11-10 00:00:00,SAC,H,4,5,f,2,0
2016-17,21600120,2016-11-10 00:00:00,LAL,A,4,4,t,0,1
2016-17,21600121,2016-11-11 00:00:00,PHI,H,0,7,t,0,7
2016-17,21600121,2016-11-11 00:00:00,IND,A,4,4,f,1,0
2016-17,21600122,2016-11-11 00:00:00,WAS,H,2,5,f,1,0
2016-17,21600122,2016-11-11 00:00:00,CLE,A,6,1,t,0,1
2016-17,21600123,2016-11-11 00:00:00,CHA,H,6,1,f,4,0
2016-17,21600123,2016-11-11 00:00:00,TOR,A,5,2,t,1,0
2016-17,21600124,2016-11-11 00:00:00,ORL,H,3,5,f,0,2
2016-17,21600124,2016-11-11 00:00:00,UTA,A,5,4,t,0,1
2016-17,21600125,2016-11-11 00:00:00,BOS,H,3,4,t,0,3
2016-17,21600125,2016-11-11 00:00:00,NYK,A,3,4,f,1,0
2016-17,21600126,2016-11-11 00:00:00,OKC,H,6,2,f,0,1
2016-17,21600126,2016-11-11 00:00:00,LAC,A,7,1,t,4,0
2016-17,21600127,2016-11-11 00:00:00,SAS,H,5,3,t,0,2
2016-17,21600127,2016-11-11 00:00:00,DET,A,4,4,f,0,2
2016-17,21600128,2016-11-11 00:00:00,POR,H,5,4,t,0,1
2016-17,21600128,2016-11-11 00:00:00,SAC,A,4,6,f,0,1
2016-17,21600129,2016-11-12 00:00:00,NOP,H,1,8,f,1,0
2016-17,21600129,2016-11-12 00:00:00,LAL,A,5,4,t,1,0
2016-17,21600130,2016-11-12 00:00:00,IND,H,4,5,f,0,1
2016-17,21600130,2016-11-12 00:00:00,BOS,A,4,4,t,1,0
2016-17,21600131,2016-11-12 00:00:00,TOR,H,6,2,t,2,0
2016-17,21600131,2016-11-12 00:00:00,NYK,A,3,5,f,0,1
2016-17,21600132,2016-11-12 00:00:00,ATL,H,6,2,t,3,0
2016-17,21600132,2016-11-12 00:00:00,PHI,A,1,7,f,1,0
2016-17,21600133,2016-11-12 00:00:00,CHI,H,5,4,t,1,0
2016-17,21600133,2016-11-12 00:00:00,WAS,A,2,6,f,0,1
2016-17,21600134,2016-11-12 00:00:00,HOU,H,5,3,f,2,0
2016-17,21600134,2016-11-12 00:00:00,SAS,A,6,3,t,1,0
2016-17,21600135,2016-11-12 00:00:00,MIN,H,2,5,f,1,0
2016-17,21600135,2016-11-12 00:00:00,LAC,A,8,1,t,5,0
2016-17,21600136,2016-11-12 00:00:00,MIA,H,2,5,f,0,3
2016-17,21600136,2016-11-12 00:00:00,UTA,A,6,4,t,1,0
2016-17,21600137,2016-11-12 00:00:00,MIL,H,4,4,t,0,2
2016-17,21600137,2016-11-12 00:00:00,MEM,A,4,4,f,1,0
2016-17,21600138,2016-11-12 00:00:00,DEN,H,3,5,f,0,2
2016-17,21600138,2016-11-12 00:00:00,DET,A,4,5,t,0,3
2016-17,21600139,2016-11-12 00:00:00,PHX,H,3,6,f,1,0
2016-17,21600139,2016-11-12 00:00:00,BKN,A,3,5,t,0,1
2016-17,21600140,2016-11-13 00:00:00,CLE,H,7,1,t,1,0
2016-17,21600140,2016-11-13 00:00:00,CHA,A,6,2,f,0,1
2016-17,21600141,2016-11-13 00:00:00,OKC,H,6,3,f,0,2
2016-17,21600141,2016-11-13 00:00:00,ORL,A,3,6,t,0,3
2016-17,21600142,2016-11-13 00:00:00,MIN,H,2,6,t,0,1
2016-17,21600142,2016-11-13 00:00:00,LAL,A,6,4,f,2,0
2016-17,21600143,2016-11-13 00:00:00,GSW,H,7,2,t,3,0
2016-17,21600143,2016-11-13 00:00:00,PHX,A,3,7,f,0,1
2016-17,21600144,2016-11-13 00:00:00,POR,H,6,4,t,1,0
2016-17,21600144,2016-11-13 00:00:00,DEN,A,3,6,f,0,3
2016-17,21600145,2016-11-14 00:00:00,IND,H,4,6,t,0,2
2016-17,21600145,2016-11-14 00:00:00,ORL,A,4,6,f,1,0
2016-17,21600146,2016-11-14 00:00:00,NYK,H,3,6,t,0,2
2016-17,21600146,2016-11-14 00:00:00,DAL,A,2,6,f,0,1
2016-17,21600147,2016-11-14 00:00:00,DET,H,5,5,t,1,0
2016-17,21600147,2016-11-14 00:00:00,OKC,A,6,4,f,0,3
2016-17,21600148,2016-11-14 00:00:00,NOP,H,1,9,t,0,1
2016-17,21600148,2016-11-14 00:00:00,BOS,A,5,4,f,2,0
2016-17,21600149,2016-11-14 00:00:00,HOU,H,5,4,t,0,1
2016-17,21600149,2016-11-14 00:00:00,PHI,A,1,8,f,0,1
2016-17,21600150,2016-11-14 00:00:00,SAS,H,7,3,t,2,0
2016-17,21600150,2016-11-14 00:00:00,MIA,A,2,6,f,0,4
2016-17,21600151,2016-11-14 00:00:00,UTA,H,7,4,f,2,0
2016-17,21600151,2016-11-14 00:00:00,MEM,A,4,5,t,0,1
2016-17,21600152,2016-11-14 00:00:00,LAC,H,9,1,t,6,0
2016-17,21600152,2016-11-14 00:00:00,BKN,A,4,5,f,1,0
2016-17,21600153,2016-11-15 00:00:00,CLE,H,8,1,t,2,0
2016-17,21600153,2016-11-15 00:00:00,TOR,A,7,2,f,3,0
2016-17,21600154,2016-11-15 00:00:00,MIA,H,2,7,f,0,5
2016-17,21600154,2016-11-15 00:00:00,ATL,A,7,2,t,4,0
2016-17,21600155,2016-11-15 00:00:00,MIN,H,3,6,f,1,0
2016-17,21600155,2016-11-15 00:00:00,CHA,A,6,3,t,0,2
2016-17,21600156,2016-11-15 00:00:00,POR,H,7,4,f,2,0
2016-17,21600156,2016-11-15 00:00:00,CHI,A,6,4,t,2,0
2016-17,21600157,2016-11-15 00:00:00,LAL,H,6,5,t,0,1
2016-17,21600157,2016-11-15 00:00:00,BKN,A,4,6,f,0,1
2016-17,21600158,2016-11-16 00:00:00,PHI,H,1,9,t,0,2
2016-17,21600158,2016-11-16 00:00:00,WAS,A,2,7,f,0,2
2016-17,21600159,2016-11-16 00:00:00,ORL,H,4,7,t,0,1
2016-17,21600159,2016-11-16 00:00:00,NOP,A,2,9,f,1,0
