Game_ID,C1,C10,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C12,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C13,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C14,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C15,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C16,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C17,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C18,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C19,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C2,C20,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C21,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C22,C220,C221,C222,C223,C224,C225,C226,C227,C228,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99
21600001,,321.0,7.0,211.0,4.0,132.0,1.0,57.0,858.0,11.0,18.0,2.0,,10.0,,,18.0,3300.0,1.0,558.0,737.0,,6.0,326.0,6.0,,778.0,2700.0,320.0,3.0,4.0,,10.0,,17.0,278.0,81.0,13.0,29.0,122.0,49.0,11.0,4.0,1.0,11.0,38.0,5.0,86.0,,1940.0,20.0,4.0,60.0,5.0,,3.0,1.0,1010.0,,55.0,86.0,1770.0,2370.0,25.0,6.0,55.0,,,3.0,2.0,50.0,11.0,,47.0,3.0,,54.0,1480.0,1.0,,1.0,2.0,,12.0,,12200.0,21.0,4.0,11.0,28.0,3.0,1010.0,382.0,2130.0,1.0,2060.0,5.0,,,5.0,,255.0,1460.0,,1.0,,1.0,,,1.0,430.0,55.0,16.0,1.0,7.0,269.0,30.0,,,,383.0,999.0,28.0,55.0,8.0,563.0,42.0,100.0,,583.0,,,302.0,2.0,5.0,,,14.0,2.0,44.0,314.0,,,,84.0,,,23.0,9.0,,1.0,19.0,9.0,75.0,23.0,695.0,2.0,33.0,2.0,1.0,39.0,,2.0,27.0,360.0,4.0,,5.0,2.0,4.0,1920.0,,2330.0,2.0,190.0,23.0,,22.0,4.0,2.0,153.0,1.0,,23.0,9.0,4.0,11.0,24.0,,8.0,307.0,32.0,3.0,17.0,433.0,6.0,11.0,80.0,525.0,3.0,,1040.0,10.0,135.0,2190.0,257.0,122.0,233.0,,,140.0,1.0,53.0,589.0,,,1.0,1020.0,5.0,70.0,1.0,,41.0,8.0,1.0,141.0,9.0,12.0
21600002,,164.0,2.0,91.0,3.0,82.0,1.0,45.0,582.0,9.0,,1.0,,4.0,,,6.0,1490.0,,262.0,590.0,,3.0,233.0,3.0,,302.0,1940.0,220.0,2.0,1.0,,4.0,,7.0,104.0,68.0,7.0,9.0,71.0,28.0,5.0,4.0,1.0,9.0,21.0,2.0,64.0,,1410.0,10.0,,43.0,5.0,,4.0,,606.0,,40.0,37.0,968.0,1600.0,10.0,3.0,36.0,,,2.0,4.0,25.0,4.0,,32.0,5.0,,40.0,3800.0,,,3.0,1.0,1.0,9.0,,10200.0,8.0,4.0,4.0,9.0,,555.0,319.0,993.0,,1100.0,1.0,,1.0,5.0,,105.0,822.0,,,,1.0,,,,286.0,30.0,2.0,,10.0,176.0,13.0,,,,259.0,551.0,23.0,26.0,3.0,325.0,31.0,81.0,,366.0,,,83.0,1.0,2.0,,1.0,5.0,1.0,21.0,211.0,,,,57.0,1.0,,9.0,3.0,,1.0,10.0,4.0,44.0,5.0,427.0,1.0,23.0,2.0,2.0,25.0,,2.0,25.0,311.0,3.0,,3.0,1.0,1.0,1060.0,,1290.0,2.0,131.0,15.0,1.0,20.0,2.0,2.0,134.0,,,18.0,8.0,2.0,5.0,24.0,,,290.0,15.0,3.0,10.0,279.0,2.0,13.0,53.0,309.0,2.0,1.0,886.0,3.0,59.0,1550.0,146.0,110.0,122.0,,,95.0,,22.0,427.0,,,,718.0,2.0,59.0,2.0,,31.0,4.0,1.0,69.0,6.0,5.0
21600003,,206.0,6.0,222.0,6.0,165.0,2.0,88.0,919.0,15.0,9.0,1.0,,5.0,,,20.0,2160.0,,536.0,651.0,1.0,5.0,315.0,5.0,,803.0,2500.0,264.0,3.0,2.0,1.0,6.0,,25.0,160.0,81.0,18.0,28.0,142.0,33.0,12.0,5.0,1.0,13.0,27.0,5.0,100.0,1.0,2220.0,19.0,4.0,96.0,9.0,,6.0,3.0,1270.0,,50.0,79.0,1290.0,3200.0,23.0,4.0,84.0,,3.0,2.0,3.0,55.0,17.0,,44.0,5.0,,76.0,1420.0,2.0,,6.0,3.0,,10.0,,12900.0,19.0,6.0,8.0,26.0,3.0,918.0,370.0,1500.0,,1490.0,6.0,,,5.0,,308.0,2030.0,1.0,1.0,,,,,2.0,398.0,57.0,13.0,2.0,17.0,305.0,18.0,,1.0,2.0,411.0,1480.0,28.0,79.0,10.0,694.0,41.0,111.0,,592.0,,1.0,185.0,2.0,8.0,,1.0,12.0,2.0,43.0,359.0,,,,66.0,,3.0,27.0,3.0,,1.0,25.0,14.0,100.0,22.0,704.0,5.0,33.0,3.0,1.0,37.0,,4.0,39.0,550.0,5.0,,10.0,3.0,2.0,2290.0,,3500.0,1.0,173.0,28.0,1.0,19.0,4.0,2.0,213.0,1.0,,25.0,11.0,2.0,10.0,17.0,,5.0,384.0,46.0,3.0,21.0,536.0,6.0,25.0,79.0,431.0,2.0,1.0,1780.0,15.0,177.0,1780.0,356.0,173.0,288.0,1.0,,190.0,,19.0,575.0,,1.0,,1170.0,7.0,78.0,1.0,,84.0,11.0,,169.0,13.0,12.0
21600004,,179.0,4.0,80.0,,34.0,,25.0,305.0,5.0,2.0,,,1.0,,,5.0,1180.0,,154.0,339.0,,3.0,180.0,4.0,,155.0,1020.0,113.0,2.0,1.0,,3.0,,7.0,112.0,61.0,5.0,18.0,23.0,25.0,3.0,2.0,,4.0,18.0,,23.0,,519.0,15.0,1.0,18.0,,,1.0,,310.0,,24.0,33.0,564.0,615.0,5.0,3.0,14.0,,,1.0,4.0,10.0,3.0,,32.0,3.0,,11.0,2460.0,,,3.0,,,7.0,,4800.0,4.0,4.0,1.0,8.0,,417.0,178.0,986.0,1.0,926.0,,,,2.0,,71.0,397.0,1.0,1.0,,,,,,156.0,26.0,6.0,,,108.0,9.0,,,,153.0,283.0,8.0,15.0,2.0,157.0,17.0,38.0,,213.0,,,44.0,4.0,,,,6.0,2.0,19.0,91.0,,,,29.0,,,13.0,6.0,,,6.0,1.0,24.0,4.0,251.0,,9.0,,1.0,24.0,,,10.0,136.0,2.0,,1.0,,1.0,598.0,,523.0,,151.0,6.0,2.0,12.0,1.0,,61.0,,,5.0,9.0,2.0,7.0,10.0,,,103.0,16.0,2.0,15.0,114.0,1.0,2.0,28.0,174.0,,,414.0,,49.0,1120.0,46.0,56.0,48.0,,,54.0,,16.0,219.0,,,1.0,357.0,2.0,27.0,,,13.0,4.0,1.0,62.0,,2.0
21600005,,203.0,3.0,81.0,1.0,79.0,1.0,30.0,447.0,7.0,1.0,,,5.0,,,8.0,1480.0,,219.0,409.0,,5.0,235.0,2.0,,220.0,2270.0,179.0,1.0,,,3.0,,5.0,141.0,77.0,8.0,11.0,50.0,30.0,7.0,1.0,,2.0,22.0,2.0,41.0,,995.0,9.0,4.0,30.0,1.0,,3.0,1.0,509.0,,26.0,38.0,761.0,1250.0,12.0,4.0,23.0,,,1.0,5.0,12.0,1.0,,52.0,5.0,,17.0,3300.0,1.0,,3.0,,,12.0,,7700.0,8.0,5.0,3.0,10.0,1.0,516.0,232.0,1150.0,,1090.0,1.0,,,3.0,,82.0,563.0,,1.0,,1.0,,,2.0,190.0,23.0,2.0,,5.0,143.0,11.0,,,,219.0,554.0,10.0,21.0,3.0,270.0,23.0,61.0,,287.0,,,58.0,3.0,3.0,,,6.0,3.0,23.0,169.0,,,,44.0,,,8.0,2.0,,,8.0,3.0,30.0,8.0,342.0,2.0,14.0,,,20.0,,1.0,15.0,217.0,2.0,,2.0,,,983.0,,1090.0,,118.0,9.0,1.0,15.0,1.0,,88.0,,,14.0,6.0,2.0,8.0,12.0,,2.0,179.0,14.0,1.0,6.0,192.0,2.0,6.0,37.0,227.0,1.0,1.0,657.0,5.0,70.0,1310.0,107.0,69.0,97.0,,,54.0,,21.0,310.0,,,1.0,547.0,3.0,27.0,,,17.0,8.0,1.0,63.0,3.0,3.0
21600006,,140.0,3.0,54.0,,71.0,,22.0,297.0,4.0,,,,2.0,,,3.0,1020.0,,163.0,243.0,,1.0,158.0,1.0,,196.0,898.0,109.0,,,,2.0,,5.0,101.0,48.0,5.0,4.0,26.0,16.0,1.0,,,2.0,15.0,,24.0,,595.0,6.0,,16.0,,,2.0,,396.0,,17.0,35.0,507.0,1210.0,4.0,1.0,11.0,,,1.0,1.0,12.0,1.0,,30.0,2.0,,15.0,2600.0,,,1.0,,,4.0,,5000.0,3.0,2.0,1.0,4.0,,342.0,166.0,821.0,,662.0,2.0,,,1.0,,61.0,350.0,,1.0,,,,,,114.0,11.0,3.0,,1.0,101.0,6.0,,,,142.0,418.0,5.0,16.0,2.0,186.0,13.0,27.0,,184.0,,,23.0,2.0,2.0,,,2.0,1.0,15.0,109.0,,,,24.0,,,6.0,,,1.0,5.0,2.0,20.0,12.0,199.0,1.0,8.0,,,9.0,,,6.0,149.0,1.0,,3.0,,,571.0,,2120.0,,158.0,7.0,2.0,10.0,,,55.0,,,9.0,5.0,1.0,3.0,4.0,,,106.0,8.0,2.0,6.0,122.0,,6.0,23.0,134.0,,2.0,420.0,1.0,35.0,808.0,54.0,38.0,93.0,,,35.0,,23.0,258.0,,,1.0,389.0,2.0,17.0,,,11.0,3.0,1.0,55.0,,3.0
21600007,,103.0,2.0,35.0,,22.0,,16.0,277.0,2.0,1.0,,,3.0,,,4.0,947.0,,74.0,201.0,,,131.0,3.0,,67.0,760.0,214.0,1.0,1.0,,5.0,,1.0,74.0,48.0,2.0,6.0,26.0,9.0,2.0,2.0,,1.0,11.0,,15.0,,357.0,6.0,1.0,10.0,,,1.0,,183.0,,14.0,21.0,397.0,554.0,3.0,,9.0,,1.0,,1.0,9.0,,,20.0,,,11.0,1360.0,,,1.0,,,2.0,,3100.0,2.0,5.0,1.0,3.0,,224.0,133.0,532.0,,603.0,,,,2.0,,34.0,265.0,,,,,,,1.0,94.0,8.0,2.0,,2.0,40.0,8.0,,,,120.0,148.0,6.0,4.0,2.0,72.0,8.0,25.0,,174.0,,,28.0,3.0,1.0,,,2.0,1.0,8.0,84.0,,,,88.0,,,3.0,3.0,,,3.0,2.0,9.0,2.0,201.0,2.0,8.0,,1.0,7.0,,,4.0,111.0,2.0,,,,,255.0,,278.0,,65.0,5.0,,7.0,,,44.0,,,6.0,5.0,2.0,6.0,5.0,,,125.0,5.0,1.0,3.0,79.0,,3.0,25.0,120.0,,,316.0,3.0,23.0,690.0,47.0,33.0,29.0,,,19.0,,12.0,169.0,,,1.0,235.0,,15.0,,,8.0,4.0,1.0,24.0,1.0,
21600008,,65.0,,16.0,,18.0,,4.0,137.0,2.0,,,,3.0,,,2.0,461.0,,47.0,132.0,,1.0,284.0,2.0,,44.0,466.0,58.0,,,,1.0,,1.0,35.0,25.0,3.0,1.0,8.0,8.0,1.0,,,1.0,12.0,,12.0,,288.0,2.0,,10.0,1.0,,1.0,,162.0,,11.0,8.0,331.0,361.0,2.0,,9.0,,,,,4.0,,,11.0,,,7.0,1180.0,2.0,,1.0,,,2.0,,4000.0,3.0,1.0,1.0,,,171.0,83.0,268.0,,310.0,,,,,,20.0,140.0,,1.0,,,,,,58.0,7.0,3.0,,2.0,21.0,6.0,,,,72.0,89.0,4.0,5.0,2.0,88.0,11.0,20.0,,93.0,,,21.0,2.0,,,,,,4.0,61.0,,,,14.0,,1.0,8.0,1.0,,,4.0,,4.0,,108.0,,19.0,1.0,,5.0,,,4.0,69.0,1.0,,1.0,,,287.0,,284.0,,44.0,4.0,,2.0,,,38.0,,,3.0,2.0,1.0,3.0,4.0,,,65.0,6.0,,3.0,65.0,,1.0,10.0,66.0,,,182.0,1.0,16.0,488.0,37.0,19.0,31.0,,,16.0,,9.0,105.0,,,,158.0,,10.0,,1.0,7.0,5.0,,20.0,2.0,1.0
21600009,,96.0,1.0,56.0,,43.0,,16.0,273.0,4.0,1.0,,,3.0,,,2.0,869.0,,156.0,261.0,,2.0,132.0,2.0,,264.0,763.0,89.0,,,,2.0,,4.0,64.0,53.0,4.0,3.0,31.0,17.0,1.0,2.0,,3.0,12.0,1.0,21.0,,687.0,5.0,1.0,19.0,1.0,,,,342.0,,16.0,30.0,360.0,880.0,3.0,1.0,12.0,,,2.0,,6.0,3.0,,21.0,2.0,,17.0,2900.0,1.0,,1.0,,,2.0,,5100.0,6.0,3.0,2.0,5.0,,325.0,147.0,680.0,,957.0,2.0,,,2.0,,51.0,348.0,,1.0,,,,,,95.0,14.0,4.0,,5.0,93.0,4.0,,,,138.0,251.0,5.0,10.0,1.0,189.0,19.0,45.0,,172.0,,,41.0,2.0,3.0,,,3.0,,20.0,115.0,,,,16.0,,,8.0,1.0,,,6.0,,15.0,4.0,178.0,1.0,6.0,1.0,,10.0,,1.0,12.0,150.0,2.0,,2.0,,1.0,605.0,,729.0,,72.0,4.0,,6.0,,,46.0,,,8.0,5.0,1.0,1.0,6.0,,,116.0,13.0,,5.0,146.0,1.0,2.0,20.0,130.0,,,572.0,1.0,42.0,619.0,68.0,31.0,61.0,,,41.0,,18.0,174.0,,,,389.0,1.0,20.0,,,16.0,2.0,1.0,42.0,1.0,3.0
21600011,,202.0,8.0,90.0,4.0,77.0,,48.0,475.0,8.0,4.0,,,5.0,,,9.0,2080.0,,220.0,665.0,,3.0,252.0,3.0,,269.0,2070.0,218.0,4.0,2.0,,3.0,,14.0,170.0,79.0,8.0,10.0,53.0,32.0,7.0,2.0,,5.0,21.0,1.0,53.0,,1320.0,10.0,1.0,39.0,1.0,,2.0,1.0,685.0,,41.0,48.0,927.0,1610.0,11.0,4.0,39.0,,,3.0,,24.0,3.0,,39.0,5.0,,36.0,3900.0,1.0,,2.0,,,7.0,,9500.0,10.0,3.0,5.0,14.0,,596.0,358.0,1100.0,,1650.0,1.0,,,4.0,,94.0,646.0,,1.0,,,,,,336.0,35.0,8.0,,5.0,126.0,10.0,,1.0,,302.0,411.0,17.0,21.0,4.0,339.0,25.0,91.0,,462.0,,,78.0,3.0,1.0,,,9.0,2.0,24.0,223.0,,,,99.0,1.0,,16.0,3.0,,,19.0,2.0,44.0,4.0,479.0,2.0,17.0,1.0,,26.0,,2.0,22.0,316.0,3.0,,3.0,1.0,1.0,1210.0,,1290.0,1.0,242.0,11.0,,19.0,1.0,,145.0,,,16.0,8.0,1.0,9.0,9.0,,2.0,301.0,12.0,4.0,7.0,275.0,6.0,6.0,65.0,395.0,,,870.0,7.0,96.0,1670.0,171.0,98.0,135.0,,,68.0,,23.0,540.0,,1.0,,1060.0,1.0,55.0,1.0,,28.0,8.0,1.0,70.0,3.0,5.0
